Label,Color
hrs_00_03,#ec756e
hrs_02_05,#ce970d
hrs_04_07,#7bae2c
hrs_05_08,#3dac66
hrs_06_10,#1bb5be
hrs_09_13,#47a0d7
hrs_12_17,#9e7fb5
hrs_16_22,#d56ba4
