esg,adult clypeo-labral primordium
shg,adult clypeo-labral primordium
CG3254,adult clypeo-labral primordium
cn,adult eye primordium
esg,adult eye primordium
sala,adult eye primordium
shg,adult eye primordium
sna,adult eye primordium
ey,adult eye primordium
B-H1,adult eye primordium
Doc1,adult eye primordium
CG8788,adult eye primordium
CG7356,adult eye primordium
CG4670,adult eye primordium
Doc3,adult eye primordium
Doc2,adult eye primordium
Osi2,adult eye primordium
CG30283,adult eye primordium
CG31363,adult eye primordium
shg,adult foregut precursor
sob,adult foregut precursor
Pitslre,adult foregut precursor
kraken,adult foregut precursor
drm,adult foregut precursor
CG8740,adult foregut precursor
CG4678,adult foregut precursor
CG7997,adult foregut precursor
CG8303,adult foregut precursor
Tsp74F,adult foregut precursor
CG10175,adult foregut precursor
CG30427,adult foregut precursor
CG31607,adult foregut precursor
kar,adult hindgut precursor
kay,adult hindgut precursor
knrl,adult hindgut precursor
HLHmbeta,adult hindgut precursor
sob,adult hindgut precursor
sgl,adult hindgut precursor
apt,adult hindgut precursor
CG7179,adult hindgut precursor
Cht3,adult hindgut precursor
edl,adult hindgut precursor
drm,adult hindgut precursor
Picot,adult hindgut precursor
CG8740,adult hindgut precursor
capt,adult hindgut precursor
VhaAC39,adult hindgut precursor
CG8788,adult hindgut precursor
Tsp42Ed,adult hindgut precursor
Alp23B,adult hindgut precursor
CG9663,adult hindgut precursor
CG5381,adult hindgut precursor
CG10253,adult hindgut precursor
CG7997,adult hindgut precursor
CG8303,adult hindgut precursor
CG4091,adult hindgut precursor
Phk-3,adult hindgut precursor
p130CAS,adult hindgut precursor
CG2103,adult hindgut precursor
GlcAT-P,adult hindgut precursor
CG10627,adult hindgut precursor
CG4914,adult hindgut precursor
CG4680,adult hindgut precursor
Ect3,adult hindgut precursor
CG6045,adult hindgut precursor
CG11659,adult hindgut precursor
CG17119,adult hindgut precursor
CG12268,adult hindgut precursor
CG9990,adult hindgut precursor
CG9747,adult hindgut precursor
CG1471,adult hindgut precursor
Jafrac1,adult hindgut precursor
CG30427,adult hindgut precursor
CG31036,adult hindgut precursor
CG31607,adult hindgut precursor
CG31676,adult hindgut precursor
CG32354,adult hindgut precursor
Ama,adult midgut precursor
kar,adult midgut precursor
pros,adult midgut precursor
Acon,adult midgut precursor
sgl,adult midgut precursor
insc,adult midgut precursor
HLH106,adult midgut precursor
Vha44,adult midgut precursor
Pal,adult midgut precursor
Sox100B,adult midgut precursor
Sox100B,adult midgut precursor
cpsf,adult midgut precursor
Noa36,adult midgut precursor
CG2358,adult midgut precursor
CG8740,adult midgut precursor
VhaSFD,adult midgut precursor
VhaAC39,adult midgut precursor
Grip,adult midgut precursor
Nep1,adult midgut precursor
CG7860,adult midgut precursor
CG13004,adult midgut precursor
CG1702,adult midgut precursor
CG5828,adult midgut precursor
CG5171,adult midgut precursor
CG7149,adult midgut precursor
CG11961,adult midgut precursor
CG18135,adult midgut precursor
Fer1,adult midgut precursor
CG5270,adult midgut precursor
CG14375,adult midgut precursor
CG7714,adult midgut precursor
CG14447,adult midgut precursor
Tm1,adult muscle primordium
betaTub60D,adult muscle primordium
twi,adult muscle primordium
blow,adult muscle primordium
Him,adult muscle primordium
CG8353,adult muscle primordium
CG2157,adult salivary primordium
Tsp74F,adult salivary primordium
CG31607,adult salivary primordium
Ama,amnioserosa
Eip55E,amnioserosa
fj,amnioserosa
bnb,amnioserosa
Gpdh,amnioserosa
Gs2,amnioserosa
kar,amnioserosa
kay,amnioserosa
LvpH,amnioserosa
srp,amnioserosa
CrebA,amnioserosa
retn,amnioserosa
C15,amnioserosa
C15,amnioserosa
Crc,amnioserosa
PpD5,amnioserosa
Nmdmc,amnioserosa
bun,amnioserosa
cpb,amnioserosa
Mvl,amnioserosa
insc,amnioserosa
Ance,amnioserosa
Hsp70Ba,amnioserosa
Eip93F,amnioserosa
Esp,amnioserosa
Rel,amnioserosa
alpha-Est9,amnioserosa
Cpr,amnioserosa
Acer,amnioserosa
NaPi-T,amnioserosa
rhea,amnioserosa
gk,amnioserosa
fok,amnioserosa
TM4SF,amnioserosa
ade5,amnioserosa
