croc,adult clypeolabrum anlage
CG9009,hindgut primordium
Adam,hindgut primordium
Dp1,hindgut primordium
Tsp96F,hindgut primordium
l(1)G0320,hindgut primordium
inx3,hindgut primordium
Nxt1,hindgut primordium
CG4455,hindgut primordium
CG5888,hindgut primordium
CG18507,hindgut primordium
esn,hindgut primordium
VhaAC39,hindgut primordium
Vha100-2,hindgut primordium
Sema-5c,hindgut primordium
CG5033,hindgut primordium
Doc1,hindgut primordium
CG3287,hindgut primordium
tio,hindgut primordium
miple2,hindgut primordium
Sucb,hindgut primordium
NHP2,hindgut primordium
kisir,hindgut primordium
fu2,hindgut primordium
CHES-1-like,hindgut primordium
Tsp42Ee,hindgut primordium
Tsp42Ea,hindgut primordium
Aos1,hindgut primordium
CG8636,hindgut primordium
CG3097,hindgut primordium
CG5928,hindgut primordium
CG3184,hindgut primordium
CG3135,hindgut primordium
CG14430,hindgut primordium
CG2263,hindgut primordium
CG1440,hindgut primordium
CG1785,hindgut primordium
CG12139,hindgut primordium
feo,hindgut primordium
CG1749,hindgut primordium
FucT6,hindgut primordium
IP3K2,hindgut primordium
CG11134,hindgut primordium
CG5548,hindgut primordium
mRpS30,hindgut primordium
Anxb11,hindgut primordium
CG4420,hindgut primordium
CG13005,hindgut primordium
CG5800,hindgut primordium
CG6398,hindgut primordium
CG7536,hindgut primordium
GalNAc-T2,hindgut primordium
CG7502,hindgut primordium
CG12203,hindgut primordium
,hindgut primordium
CG14222,hindgut primordium
CG12701,hindgut primordium
CG1529,hindgut primordium
CG12576,hindgut primordium
CG2813,hindgut primordium
CG4226,hindgut primordium
CG4710,hindgut primordium
CG4552,hindgut primordium
CG17646,hindgut primordium
CG7312,hindgut primordium
CG7082,hindgut primordium
CG10882,hindgut primordium
CG9892,hindgut primordium
CG17593,hindgut primordium
CG15433,hindgut primordium
mRpL28,hindgut primordium
CG8965,hindgut primordium
CG9175,hindgut primordium
CG9531,hindgut primordium
CG9596,hindgut primordium
CG4567,hindgut primordium
CG6055,hindgut primordium
CG7224,hindgut primordium
CG5899,hindgut primordium
CG4901,hindgut primordium
eEF1delta,hindgut primordium
CG5037,hindgut primordium
CG17218,hindgut primordium
crok,hindgut primordium
CG6388,hindgut primordium
CG5525,hindgut primordium
CG16972,hindgut primordium
CG9302,hindgut primordium
CG10176,hindgut primordium
CG10341,hindgut primordium
mRpL13,hindgut primordium
CG10702,hindgut primordium
CG17544,hindgut primordium
CG13082,hindgut primordium
CG2493,hindgut primordium
CG9326,hindgut primordium
CG9246,hindgut primordium
Grp1,hindgut primordium
CG1416,hindgut primordium
Tif-IA,hindgut primordium
CG1298,hindgut primordium
bin3,hindgut primordium
CG9410,hindgut primordium
CG3409,hindgut primordium
CG3420,hindgut primordium
CG1600,hindgut primordium
CG1598,hindgut primordium
mRpL52,hindgut primordium
CG2915,hindgut primordium
Cul-4,hindgut primordium
CG8635,hindgut primordium
CG8258,hindgut primordium
CG8247,hindgut primordium
CG8235,hindgut primordium
CG8232,hindgut primordium
CG8058,hindgut primordium
CG1968,hindgut primordium
CG1884,hindgut primordium
CG1814,hindgut primordium
CG18446,hindgut primordium
CG12128,hindgut primordium
CG1371,hindgut primordium
CG12909,hindgut primordium
CG11887,hindgut primordium
RpS15Ab,hindgut primordium
CG6751,hindgut primordium
CG7712,hindgut primordium
Rpb5,hindgut primordium
CG9006,hindgut primordium
CG9005,hindgut primordium
CG8818,hindgut primordium
CG8646,hindgut primordium
CG13320,hindgut primordium
AQP,hindgut primordium
CG4679,hindgut primordium
CG13333,hindgut primordium
CG8468,hindgut primordium
CG8603,hindgut primordium
CG10220,hindgut primordium
CG7639,hindgut primordium
CG8092,hindgut primordium
CG8443,hindgut primordium
CG8306,hindgut primordium
CG6796,hindgut primordium
Ngp,hindgut primordium
CG14482,hindgut primordium
CG6459,hindgut primordium
CG5174,hindgut primordium
CG15118,hindgut primordium
CG9993,hindgut primordium
CG9346,hindgut primordium
CG10082,hindgut primordium
CG11275,hindgut primordium
mRpL-CI-B8,hindgut primordium
CG4692,hindgut primordium
CG4806,hindgut primordium
CG7047,hindgut primordium
mthl9,hindgut primordium
CG1233,hindgut primordium
CG9149,hindgut primordium
CG2199,hindgut primordium
Psa,hindgut primordium
CG2069,hindgut primordium
CG12026,hindgut primordium
CG1140,hindgut primordium
CG16758,hindgut primordium
CG2083,hindgut primordium
CG12082,hindgut primordium
CG14985,hindgut primordium
CG15005,hindgut primordium
CG1273,hindgut primordium
CG11583,hindgut primordium
Gef64C,hindgut primordium
CG4769,hindgut primordium
CG5249,hindgut primordium
CG13295,hindgut primordium
CG13298,hindgut primordium
Best2,hindgut primordium
CG8605,hindgut primordium
CG8600,hindgut primordium
Ect4,hindgut primordium
CG7188,hindgut primordium
CG13313,hindgut primordium
CG5021,hindgut primordium
CG5064,hindgut primordium
Doc3,hindgut primordium
Doc2,hindgut primordium
CG3424,hindgut primordium
CG6391,hindgut primordium
CG7839,hindgut primordium
CG7638,hindgut primordium
mRpL2,hindgut primordium
CG6175,hindgut primordium
CG11652,hindgut primordium
CG6038,hindgut primordium
Pbgs,hindgut primordium
CG10638,hindgut primordium
Tsf2,hindgut primordium
CG4069,hindgut primordium
MICAL-like,hindgut primordium
CG11267,hindgut primordium
CG8745,hindgut primordium
CG9598,hindgut primordium
CG9238,hindgut primordium
CG9628,hindgut primordium
CG4914,hindgut primordium
CG5114,hindgut primordium
mRpL5,hindgut primordium
CG6854,hindgut primordium
CG16959,hindgut primordium
CG7841,hindgut primordium
mRpS31,hindgut primordium
mRpS26,hindgut primordium
skl,hindgut primordium
CG6897,hindgut primordium
Indy,hindgut primordium
CG9300,hindgut primordium
CG8798,hindgut primordium
CG7654,hindgut primordium
CG5872,hindgut primordium
CG6020,hindgut primordium
CG7519,hindgut primordium
Nopp140,hindgut primordium
CG12581,hindgut primordium
Cont,hindgut primordium
CG1129,hindgut primordium
CG16708,hindgut primordium
RpL13A,hindgut primordium
sec23,hindgut primordium
Rab23,hindgut primordium
CG1236,hindgut primordium
Alhambra,hindgut primordium
CG1234,hindgut primordium
CD98hc,hindgut primordium
CG2791,hindgut primordium
CG2767,hindgut primordium
CG10903,hindgut primordium
CG9630,hindgut primordium
mRpL1,hindgut primordium
mRpL19,hindgut primordium
CG11980,hindgut primordium
CG9740,hindgut primordium
CG8444,hindgut primordium
CG9373,hindgut primordium
RnpS1,hindgut primordium
Fst,hindgut primordium
CG12802,hindgut primordium
CG12592,hindgut primordium
CG17100,hindgut primordium
CG6666,hindgut primordium
Ranbp9,hindgut primordium
CG10535,hindgut primordium
CG6930,hindgut primordium
Spt3,hindgut primordium
CG9799,hindgut primordium
yellow-e3,hindgut primordium
CG9322,hindgut primordium
CG9924,hindgut primordium
CG8066,hindgut primordium
CG14860,hindgut primordium
CG6563,hindgut primordium
mRpS10,hindgut primordium
mRpL9,hindgut primordium
CG5044,hindgut primordium
CG5903,hindgut primordium
CG12785,hindgut primordium
ns1,hindgut primordium
CG5873,hindgut primordium
CG7713,hindgut primordium
CG7217,hindgut primordium
CG7993,hindgut primordium
CG8064,hindgut primordium
CG7675,hindgut primordium
CG7698,hindgut primordium
CG17271,hindgut primordium
CG6439,hindgut primordium
CG6028,hindgut primordium
sar1,hindgut primordium
CG13850,hindgut primordium
CG6937,hindgut primordium
CG12268,hindgut primordium
CG5728,hindgut primordium
CG6695,hindgut primordium
CG7016,hindgut primordium
CG11089,hindgut primordium
CG11069,hindgut primordium
CG11771,hindgut primordium
CG11857,hindgut primordium
CG4951,hindgut primordium
Gfat2,hindgut primordium
CG11876,hindgut primordium
CG7567,hindgut primordium
Obp99a,hindgut primordium
CG7802,hindgut primordium
CG9747,hindgut primordium
CG9743,hindgut primordium
CG1542,hindgut primordium
CG1746,hindgut primordium
CG12063,hindgut primordium
CG1499,hindgut primordium
CG2118,hindgut primordium
CG11076,hindgut primordium
CG17167,hindgut primordium
tara,hindgut primordium
rept,hindgut primordium
larp,hindgut primordium
dbo,hindgut primordium
POSH,hindgut primordium
CG32796,hindgut primordium
mRpL14,hindgut primordium
zetaCOP,hindgut primordium
CG9603,hindgut primordium
Lag1,hindgut primordium
CG15304,hindgut primordium
CG4440,hindgut primordium
Cct1,hindgut primordium
dlp,hindgut primordium
Pax,hindgut primordium
CG3267,hindgut primordium
Sox21b,hindgut primordium
cbt,hindgut primordium
Wsck,hindgut primordium
Tre1,hindgut primordium
CG6463,hindgut primordium
CG30085,hindgut primordium
CG30115,hindgut primordium
CG30118,hindgut primordium
CG30159,hindgut primordium
CG31028,hindgut primordium
CG31100,hindgut primordium
CG31121,hindgut primordium
CG31163,hindgut primordium
CG31181,hindgut primordium
CG31182,hindgut primordium
CG31232,hindgut primordium
CG31352,hindgut primordium
CG31385,hindgut primordium
CG31531,hindgut primordium
CG31871,hindgut primordium
CG32026,hindgut primordium
CG32046,hindgut primordium
CG32048,hindgut primordium
CG32280,hindgut primordium
CG32428,hindgut primordium
CG32500,hindgut primordium
CG32556,hindgut primordium
CG32564,hindgut primordium
CG32625,hindgut primordium
CG32626,hindgut primordium
CG32827,hindgut primordium
CG32855,hindgut primordium
CG33009,hindgut primordium
CG33097,hindgut primordium
Rtnl1,hindgut primordium
dp,hindgut primordium
pxb,hindgut primordium
CG40049,hindgut primordium
GlcAT-I,hindgut primordium
Ect4,hindgut primordium
Pvf3,hindgut primordium
rdx,hindgut primordium
epsin-like,hindgut primordium
CG42321,hindgut primordium
CG42663,hindgut primordium
d,hindgut primordium
CG40127,hindgut primordium
CoVIII,hindgut primordium
E2f2,hindgut primordium
Med,hindgut primordium
janA,hypopharyngeal sense organ primordium
sens,hypopharyngeal sense organ primordium
Sox15,hypopharyngeal sense organ primordium
cato,hypopharyngeal sense organ primordium
CG15161,hypopharyngeal sense organ primordium
CG17724,hypopharyngeal sense organ primordium
sano,hypopharyngeal sense organ primordium
Ama,hypopharynx primordium
ap,hypopharynx primordium
gsb,hypopharynx primordium
h,hypopharynx primordium
lab,hypopharynx primordium
nub,hypopharynx primordium
W,hypopharynx primordium
oc,hypopharynx primordium
Lac,hypopharynx primordium
fzo,hypopharynx primordium
RnrS,hypopharynx primordium
Awd,hypopharynx primordium
croc,hypopharynx primordium
BtbII,hypopharynx primordium
OdsH,hypopharynx primordium
Lim1,hypopharynx primordium
inx3,hypopharynx primordium
CG18616,hypopharynx primordium
scro,hypopharynx primordium
CG3842,hypopharynx primordium
CG12075,hypopharynx primordium
CG4678,hypopharynx primordium
CG2069,hypopharynx primordium
CG6175,hypopharynx primordium
CG9238,hypopharynx primordium
CG9300,hypopharynx primordium
foxo,hypopharynx primordium
CG7802,hypopharynx primordium
CG32159,hypopharynx primordium
CG32280,hypopharynx primordium
pxb,hypopharynx primordium
GlcAT-I,hypopharynx primordium
epsin-like,hypopharynx primordium
kn,hypopharynx primordium
HLH106,interstitial cells primordium
Lis-1,interstitial cells primordium
CG8562,interstitial cells primordium
CG11440,interstitial cells primordium
CG10300,interstitial cells primordium
al,labial sensory complex primordium
ase,labial sensory complex primordium
Dll,labial sensory complex primordium
cpo,labial sensory complex primordium
His2Av,labial sensory complex primordium
sens,labial sensory complex primordium
Poxn,labial sensory complex primordium
prd,labial sensory complex primordium
amos,labial sensory complex primordium
shg,labial sensory complex primordium
ss,labial sensory complex primordium
pdm2,labial sensory complex primordium
pros,labial sensory complex primordium
B-H2,labial sensory complex primordium
sv,labial sensory complex primordium
Sox15,labial sensory complex primordium
noc,labial sensory complex primordium
lbl,labial sensory complex primordium
lbe,labial sensory complex primordium
B-H1,labial sensory complex primordium
oaf,labial sensory complex primordium
Mcm2,labial sensory complex primordium
loco,labial sensory complex primordium
Rfx,labial sensory complex primordium
cato,labial sensory complex primordium
pit,labial sensory complex primordium
qtc,labial sensory complex primordium
l(2)05510,labial sensory complex primordium
ETH,labial sensory complex primordium
CG15335,labial sensory complex primordium
nAcRbeta-21C,labial sensory complex primordium
CG15161,labial sensory complex primordium
CG17724,labial sensory complex primordium
Obp56a,labial sensory complex primordium
CG1273,labial sensory complex primordium
CG6560,labial sensory complex primordium
CG14253,labial sensory complex primordium
CG1911,labial sensory complex primordium
CG7920,labial sensory complex primordium
CG30445,labial sensory complex primordium
pb,labial sensory complex primordium
CG42801,labial sensory complex primordium
cnc,labral sensory complex primordium
sens,labral sensory complex primordium
odd,labral sensory complex primordium
Poxn,labral sensory complex primordium
rib,labral sensory complex primordium
spir,labral sensory complex primordium
Egfr,labral sensory complex primordium
pros,labral sensory complex primordium
sob,labral sensory complex primordium
sv,labral sensory complex primordium
Sox15,labral sensory complex primordium
lbl,labral sensory complex primordium
ato,labral sensory complex primordium
trn,labral sensory complex primordium
lbe,labral sensory complex primordium
Pbprp5,labral sensory complex primordium
B-H1,labral sensory complex primordium
Rfx,labral sensory complex primordium
cato,labral sensory complex primordium
pit,labral sensory complex primordium
Optix,labral sensory complex primordium
l(1)G0255,labral sensory complex primordium
qtc,labral sensory complex primordium
NtR,labral sensory complex primordium
CG9917,labral sensory complex primordium
nAcRbeta-21C,labral sensory complex primordium
Ir25a,labral sensory complex primordium
CG15161,labral sensory complex primordium
CG17549,labral sensory complex primordium
CG17724,labral sensory complex primordium
CG11275,labral sensory complex primordium
CG13290,labral sensory complex primordium
CG7724,labral sensory complex primordium
Spt3,labral sensory complex primordium
CG6560,labral sensory complex primordium
CG12885,labral sensory complex primordium
CG11382,labral sensory complex primordium
CG32626,labral sensory complex primordium
D,large intestine specific
fkh,large intestine specific
Poxm,large intestine specific
LamC,large intestine specific
fng,large intestine specific
otp,large intestine specific
Msr-110,large intestine specific
CG5928,large intestine specific
CG7536,large intestine specific
CG16947,large intestine specific
CG8831,large intestine specific
CG13333,large intestine specific
CG8468,large intestine specific
mRpS29,large intestine specific
Gef64C,large intestine specific
CG13313,large intestine specific
Tsf2,large intestine specific
CG7841,large intestine specific
mRpS31,large intestine specific
CG11980,large intestine specific
CG7720,large intestine specific
CG6921,large intestine specific
CG7016,large intestine specific
CG12063,large intestine specific
CG1499,large intestine specific
dbo,large intestine specific
CG4440,large intestine specific
dlp,large intestine specific
Sox21b,large intestine specific
CG32564,large intestine specific
Argk,lateral cord
asp,lateral cord
Dr,lateral cord
en,lateral cord
l(1)sc,lateral cord
sn,lateral cord
sog,lateral cord
mew,lateral cord
Su(H),lateral cord
Orc4,lateral cord
CG12082,lateral cord
CG5063,lateral cord
Sulf1,lateral cord
CG32105,lateral cord
Ama,lateral cord glia
Antp,lateral cord glia
D,lateral cord glia
Dl,lateral cord glia
fkh,lateral cord glia
hb,lateral cord glia
Hsp27,lateral cord glia
ImpL2,lateral cord glia
kn,lateral cord glia
mor,lateral cord glia
neur,lateral cord glia
Sd,lateral cord glia
sna,lateral cord glia
scra,lateral cord glia
Klp61F,lateral cord glia
pros,lateral cord glia
zfh1,lateral cord glia
Gdi,lateral cord glia
cas,lateral cord glia
Gnf1,lateral cord glia
dpn,lateral cord glia
brat,lateral cord glia
Map60,lateral cord glia
CycE,lateral cord glia
pr-set7,lateral cord glia
repo,lateral cord glia
RnrL,lateral cord glia
Caki,lateral cord glia
Ptp69D,lateral cord glia
barr,lateral cord glia
NetB,lateral cord glia
dpa,lateral cord glia
dpld,lateral cord glia
Pitslre,lateral cord glia
Atu,lateral cord glia
Smg5,lateral cord glia
ran,lateral cord glia
Pcaf,lateral cord glia
mira,lateral cord glia
Uba1,lateral cord glia
CG14814,lateral cord glia
Mcm3,lateral cord glia
Ts,lateral cord glia
Bub3,lateral cord glia
homer,lateral cord glia
Traf1,lateral cord glia
CG14781,lateral cord glia
miple,lateral cord glia
Acf1,lateral cord glia
SMC2,lateral cord glia
msps,lateral cord glia
xl6,lateral cord glia
nerfin-1,lateral cord glia
SoxN,lateral cord glia
CG3847,lateral cord glia
CG4532,lateral cord glia
CG7055,lateral cord glia
CG11122,lateral cord glia
CG4420,lateral cord glia
CG12701,lateral cord glia
CG3542,lateral cord glia
CG7154,lateral cord glia
CG6866,lateral cord glia
Oli,lateral cord glia
CG10473,lateral cord glia
CG8709,lateral cord glia
Cap-G,lateral cord glia
CG11798,lateral cord glia
CG3941,lateral cord glia
CG13912,lateral cord glia
CG2469,lateral cord glia
CG11347,lateral cord glia
CG13298,lateral cord glia
RhoGEF4,lateral cord glia
CG3408,lateral cord glia
CG10191,lateral cord glia
RhoGAP71E,lateral cord glia
CG5027,lateral cord glia
skl,lateral cord glia
CG2669,lateral cord glia
CG9797,lateral cord glia
CG9373,lateral cord glia
CG6693,lateral cord glia
CG6791,lateral cord glia
,lateral cord glia
CG9588,lateral cord glia
CG5063,lateral cord glia
CG5175,lateral cord glia
CG7379,lateral cord glia
CG7670,lateral cord glia
CG11120,lateral cord glia
dbo,lateral cord glia
Sulf1,lateral cord glia
SP555,lateral cord glia
Nhe2,lateral cord glia
Slbp,lateral cord glia
skf,lateral cord glia
CG31122,lateral cord glia
CG31365,lateral cord glia
CG32105,lateral cord glia
loner,lateral cord glia
CG32685,lateral cord glia
CG33097,lateral cord glia
mei-38,lateral cord glia
CG42748,lateral cord glia
Ama,lateral cord neuron
Antp,lateral cord neuron
Argk,lateral cord neuron
D,lateral cord neuron
Dl,lateral cord neuron
ImpL2,lateral cord neuron
kn,lateral cord neuron
HLHmbeta,lateral cord neuron
mor,lateral cord neuron
neur,lateral cord neuron
run,lateral cord neuron
Sd,lateral cord neuron
sna,lateral cord neuron
th,lateral cord neuron
vap,lateral cord neuron
uzip,lateral cord neuron
cdc2c,lateral cord neuron
Klp61F,lateral cord neuron
pros,lateral cord neuron
zfh1,lateral cord neuron
zfh2,lateral cord neuron
mit(1)15,lateral cord neuron
Gdi,lateral cord neuron
cas,lateral cord neuron
scrt,lateral cord neuron
Gnf1,lateral cord neuron
dpn,lateral cord neuron
brat,lateral cord neuron
Map60,lateral cord neuron
sbb,lateral cord neuron
pr-set7,lateral cord neuron
Ssdp,lateral cord neuron
repo,lateral cord neuron
RnrL,lateral cord neuron
Snr1,lateral cord neuron
E2f,lateral cord neuron
Caki,lateral cord neuron
Ptp69D,lateral cord neuron
barr,lateral cord neuron
Set,lateral cord neuron
BEAF-32,lateral cord neuron
NetB,lateral cord neuron
dpa,lateral cord neuron
dpld,lateral cord neuron
Pitslre,lateral cord neuron
Atu,lateral cord neuron
toy,lateral cord neuron
Smg5,lateral cord neuron
Vha68-1,lateral cord neuron
Pcaf,lateral cord neuron
mira,lateral cord neuron
zf30C,lateral cord neuron
Uba1,lateral cord neuron
Mnt,lateral cord neuron
Dap160,lateral cord neuron
CG14814,lateral cord neuron
brk,lateral cord neuron
Mcm3,lateral cord neuron
Ts,lateral cord neuron
Bub3,lateral cord neuron
homer,lateral cord neuron
Traf1,lateral cord neuron
TXBP181-like,lateral cord neuron
SRPK,lateral cord neuron
CG8290,lateral cord neuron
l(1)G0007,lateral cord neuron
CG14781,lateral cord neuron
miple,lateral cord neuron
Acf1,lateral cord neuron
SMC2,lateral cord neuron
msps,lateral cord neuron
Kr-h1,lateral cord neuron
cenG1A,lateral cord neuron
xl6,lateral cord neuron
nerfin-1,lateral cord neuron
SoxN,lateral cord neuron
REG,lateral cord neuron
CG4532,lateral cord neuron
CG7055,lateral cord neuron
CG11122,lateral cord neuron
CG1622,lateral cord neuron
CG12708,lateral cord neuron
CG4420,lateral cord neuron
dik,lateral cord neuron
CG12701,lateral cord neuron
CG3436,lateral cord neuron
CG3542,lateral cord neuron
CG7154,lateral cord neuron
CG5899,lateral cord neuron
CG6181,lateral cord neuron
,lateral cord neuron
CG6866,lateral cord neuron
Oli,lateral cord neuron
CG10473,lateral cord neuron
CG1416,lateral cord neuron
CG3403,lateral cord neuron
CG1548,lateral cord neuron
CG8709,lateral cord neuron
CG1884,lateral cord neuron
CG8981,lateral cord neuron
CG11798,lateral cord neuron
CG8092,lateral cord neuron
CG3941,lateral cord neuron
CG13912,lateral cord neuron
CG2469,lateral cord neuron
CG13298,lateral cord neuron
CG10107,lateral cord neuron
RhoGEF4,lateral cord neuron
CG3408,lateral cord neuron
CG5684,lateral cord neuron
CG10191,lateral cord neuron
RhoGAP71E,lateral cord neuron
CG6017,lateral cord neuron
CG5027,lateral cord neuron
Cad74A,lateral cord neuron
CG6897,lateral cord neuron
CG2669,lateral cord neuron
CG9797,lateral cord neuron
CG9373,lateral cord neuron
CG8478,lateral cord neuron
CG6693,lateral cord neuron
CG6791,lateral cord neuron
CG14722,lateral cord neuron
CG5641,lateral cord neuron
,lateral cord neuron
CG9588,lateral cord neuron
CG5063,lateral cord neuron
CG5175,lateral cord neuron
CG7379,lateral cord neuron
CG7670,lateral cord neuron
CG11120,lateral cord neuron
XNP,lateral cord neuron
Mgat2,lateral cord neuron
dbo,lateral cord neuron
Sulf1,lateral cord neuron
SP555,lateral cord neuron
Nhe2,lateral cord neuron
HGTX,lateral cord neuron
Slbp,lateral cord neuron
skf,lateral cord neuron
CG31122,lateral cord neuron
CG31365,lateral cord neuron
Trim9,lateral cord neuron
CG32066,lateral cord neuron
CG32105,lateral cord neuron
loner,lateral cord neuron
CG32685,lateral cord neuron
CG33097,lateral cord neuron
mei-38,lateral cord neuron
CG42748,lateral cord neuron
fzy,lateral cord surface glia
CycE,lateral cord surface glia
E2f,lateral cord surface glia
toy,lateral cord surface glia
mira,lateral cord surface glia
CG3624,lateral cord surface glia
RhoGEF4,lateral cord surface glia
Slbp,lateral cord surface glia
acj6,longitudinal visceral mesoderm primordium
Act87E,longitudinal visceral mesoderm primordium
eya,longitudinal visceral mesoderm primordium
Dl,longitudinal visceral mesoderm primordium
Dl,longitudinal visceral mesoderm primordium
egl,longitudinal visceral mesoderm primordium
HLHmbeta,longitudinal visceral mesoderm primordium
sn,longitudinal visceral mesoderm primordium
su(Hw),longitudinal visceral mesoderm primordium
twi,longitudinal visceral mesoderm primordium
porin,longitudinal visceral mesoderm primordium
mew,longitudinal visceral mesoderm primordium
argos,longitudinal visceral mesoderm primordium
gol,longitudinal visceral mesoderm primordium
Sox14,longitudinal visceral mesoderm primordium
dei,longitudinal visceral mesoderm primordium
htl,longitudinal visceral mesoderm primordium
Wnt4,longitudinal visceral mesoderm primordium
l(2)03709,longitudinal visceral mesoderm primordium
l(2)06225,longitudinal visceral mesoderm primordium
Mef2,longitudinal visceral mesoderm primordium
Dp,longitudinal visceral mesoderm primordium
Ahcy13,longitudinal visceral mesoderm primordium
mbc,longitudinal visceral mesoderm primordium
ATPsyn-d,longitudinal visceral mesoderm primordium
Reg-2,longitudinal visceral mesoderm primordium
Nacalpha,longitudinal visceral mesoderm primordium
Vha68-1,longitudinal visceral mesoderm primordium
Rs1,longitudinal visceral mesoderm primordium
HLH54F,longitudinal visceral mesoderm primordium
vimar,longitudinal visceral mesoderm primordium
CG3095,longitudinal visceral mesoderm primordium
vig,longitudinal visceral mesoderm primordium
CG2713,longitudinal visceral mesoderm primordium
CG4882,longitudinal visceral mesoderm primordium
BtbII,longitudinal visceral mesoderm primordium
Aats-arg,longitudinal visceral mesoderm primordium
miple,longitudinal visceral mesoderm primordium
l(1)G0193,longitudinal visceral mesoderm primordium
VhaSFD,longitudinal visceral mesoderm primordium
CG5033,longitudinal visceral mesoderm primordium
miple2,longitudinal visceral mesoderm primordium
CG11444,longitudinal visceral mesoderm primordium
Grip,longitudinal visceral mesoderm primordium
CG3224,longitudinal visceral mesoderm primordium
CG12151,longitudinal visceral mesoderm primordium
CG1354,longitudinal visceral mesoderm primordium
CG1463,longitudinal visceral mesoderm primordium
CG13005,longitudinal visceral mesoderm primordium
wgn,longitudinal visceral mesoderm primordium
RhoGAP19D,longitudinal visceral mesoderm primordium
CG3625,longitudinal visceral mesoderm primordium
CG9663,longitudinal visceral mesoderm primordium
Tsp,longitudinal visceral mesoderm primordium
CG4567,longitudinal visceral mesoderm primordium
CG7224,longitudinal visceral mesoderm primordium
CG4619,longitudinal visceral mesoderm primordium
CG10275,longitudinal visceral mesoderm primordium
CG10428,longitudinal visceral mesoderm primordium
CG17492,longitudinal visceral mesoderm primordium
CG10462,longitudinal visceral mesoderm primordium
CG9253,longitudinal visceral mesoderm primordium
CG9246,longitudinal visceral mesoderm primordium
CG2158,longitudinal visceral mesoderm primordium
CG6751,longitudinal visceral mesoderm primordium
CG13185,longitudinal visceral mesoderm primordium
CG8531,longitudinal visceral mesoderm primordium
CG10220,longitudinal visceral mesoderm primordium
CG11798,longitudinal visceral mesoderm primordium
CG8092,longitudinal visceral mesoderm primordium
CG8443,longitudinal visceral mesoderm primordium
CG7989,longitudinal visceral mesoderm primordium
Syn2,longitudinal visceral mesoderm primordium
CG9416,longitudinal visceral mesoderm primordium
CG4030,longitudinal visceral mesoderm primordium
CG3663,longitudinal visceral mesoderm primordium
CG11583,longitudinal visceral mesoderm primordium
Doc2,longitudinal visceral mesoderm primordium
CG3434,longitudinal visceral mesoderm primordium
CG7839,longitudinal visceral mesoderm primordium
CG10627,longitudinal visceral mesoderm primordium
CG7841,longitudinal visceral mesoderm primordium
CG5241,longitudinal visceral mesoderm primordium
CG11914,longitudinal visceral mesoderm primordium
Lmpt,longitudinal visceral mesoderm primordium
CG9959,longitudinal visceral mesoderm primordium
CG7430,longitudinal visceral mesoderm primordium
CG3808,longitudinal visceral mesoderm primordium
CG8780,longitudinal visceral mesoderm primordium
CG8526,longitudinal visceral mesoderm primordium
CG14687,longitudinal visceral mesoderm primordium
CG5641,longitudinal visceral mesoderm primordium
CG9799,longitudinal visceral mesoderm primordium
beat-IIa,longitudinal visceral mesoderm primordium
CG7655,longitudinal visceral mesoderm primordium
CG7217,longitudinal visceral mesoderm primordium
CG7993,longitudinal visceral mesoderm primordium
CG8064,longitudinal visceral mesoderm primordium
lmd,longitudinal visceral mesoderm primordium
CG5590,longitudinal visceral mesoderm primordium
rept,longitudinal visceral mesoderm primordium
meso18E,longitudinal visceral mesoderm primordium
CG14447,longitudinal visceral mesoderm primordium
bwa,longitudinal visceral mesoderm primordium
CG31038,longitudinal visceral mesoderm primordium
CG31536,longitudinal visceral mesoderm primordium
CG32105,longitudinal visceral mesoderm primordium
CG32369,longitudinal visceral mesoderm primordium
CG32500,longitudinal visceral mesoderm primordium
CG32813,longitudinal visceral mesoderm primordium
odd,lymph gland anlage
srp,lymph gland anlage
Sdc,lymph gland anlage
rept,lymph gland anlage
Jafrac1,lymph gland anlage
Tre1,lymph gland anlage
amd,Malpighian tubule primordium
awd,Malpighian tubule primordium
bw,Malpighian tubule primordium
Pka-R1,Malpighian tubule primordium
cn,Malpighian tubule primordium
fkh,Malpighian tubule primordium
fkh,Malpighian tubule primordium
Hsp26,Malpighian tubule primordium
Kr,Malpighian tubule primordium
ifc,Malpighian tubule primordium
odd,Malpighian tubule primordium
Pcl,Malpighian tubule primordium
Pepck,Malpighian tubule primordium
Ptp61F,Malpighian tubule primordium
r-l,Malpighian tubule primordium
st,Malpighian tubule primordium
st,Malpighian tubule primordium
Su(var)3-9,Malpighian tubule primordium
th,Malpighian tubule primordium
tipE,Malpighian tubule primordium
Tm1,Malpighian tubule primordium
cdc2c,Malpighian tubule primordium
ct,Malpighian tubule primordium
ct,Malpighian tubule primordium
Dgk,Malpighian tubule primordium
Dgk,Malpighian tubule primordium
sob,Malpighian tubule primordium
M(2)21AB,Malpighian tubule primordium
mus209,Malpighian tubule primordium
RpA-70,Malpighian tubule primordium
Rbp1,Malpighian tubule primordium
Cdc42,Malpighian tubule primordium
LamC,Malpighian tubule primordium
l(2)06225,Malpighian tubule primordium
Moe,Malpighian tubule primordium
RnrL,Malpighian tubule primordium
RnrS,Malpighian tubule primordium
mRpL7-L12,Malpighian tubule primordium
Ance,Malpighian tubule primordium
FK506-bp1,Malpighian tubule primordium
Sep2,Malpighian tubule primordium
Ahcy13,Malpighian tubule primordium
HLH106,Malpighian tubule primordium
