croc,adult clypeolabrum anlage
Aats-ile,anal pad anlage
Gmap,anal pad anlage
CG17834,anal pad anlage
Vha100-2,anal pad anlage
CG5033,anal pad anlage
tio,anal pad anlage
CG3097,anal pad anlage
NFAT,anal pad anlage
CG4678,anal pad anlage
Pvf1,anal pad anlage
AIF,anal pad anlage
CG13096,anal pad anlage
CG13966,anal pad anlage
rgr,anal pad anlage
CG8258,anal pad anlage
CG8058,anal pad anlage
Myd88,anal pad anlage
CG8531,anal pad anlage
pcs,anal pad anlage
CG8249,anal pad anlage
CG9993,anal pad anlage
CG4769,anal pad anlage
CG10565,anal pad anlage
CG6904,anal pad anlage
CG6563,anal pad anlage
CG7993,anal pad anlage
CG17836,anal pad anlage
CG5728,anal pad anlage
CG7802,anal pad anlage
gem,anal pad anlage
CG30118,anal pad anlage
CG30349,anal pad anlage
CG31182,anal pad anlage
CG31871,anal pad anlage
CG32048,anal pad anlage
CG32344,anal pad anlage
CG33071,anal pad anlage
CG33111,anal pad anlage
U3-55K,anal pad anlage
Xrp1,anal pad anlage
kdn,anal pad anlage
al,antennal primordium
ase,antennal primordium
Dll,antennal primordium
eyg,antennal primordium
gsb,antennal primordium
sens,antennal primordium
Poxn,antennal primordium
amos,antennal primordium
shg,antennal primordium
slp1,antennal primordium
ss,antennal primordium
ush,antennal primordium
Yp1,antennal primordium
argos,antennal primordium
B-H2,antennal primordium
sv,antennal primordium
Sox15,antennal primordium
Pbprp5,antennal primordium
B-H1,antennal primordium
Mcm2,antennal primordium
loco,antennal primordium
Rfx,antennal primordium
cato,antennal primordium
qtc,antennal primordium
CG14617,antennal primordium
CG9135,antennal primordium
CG15161,antennal primordium
CG17724,antennal primordium
CG12191,antennal primordium
CG17274,antennal primordium
CG6560,antennal primordium
CG14253,antennal primordium
CG1911,antennal primordium
Sulf1,antennal primordium
CG31291,antennal primordium
CG42749,antennal primordium
slp1,antennal primordium
ase,anterior adult midgut primordium
insc,anterior adult midgut primordium
Sox100B,anterior adult midgut primordium
nerfin-1,anterior adult midgut primordium
CG7055,anterior adult midgut primordium
CG11388,anterior endoderm primordium
ade2,anterior midgut primordium
ade3,anterior midgut primordium
Adf1,anterior midgut primordium
Ald,anterior midgut primordium
Ama,anterior midgut primordium
awd,anterior midgut primordium
ben,anterior midgut primordium
BicD,anterior midgut primordium
bsk,anterior midgut primordium
car,anterior midgut primordium
Cat,anterior midgut primordium
chif,anterior midgut primordium
Chc,anterior midgut primordium
CycA,anterior midgut primordium
Hr46,anterior midgut primordium
Dl,anterior midgut primordium
Dl,anterior midgut primordium
dm,anterior midgut primordium
DNaseII,anterior midgut primordium
Eip71CD,anterior midgut primordium
Eip55E,anterior midgut primordium
Eip75B,anterior midgut primordium
E(spl),anterior midgut primordium
exd,anterior midgut primordium
E(z),anterior midgut primordium
fkh,anterior midgut primordium
Gapdh1,anterior midgut primordium
Gdh,anterior midgut primordium
Gbeta13F,anterior midgut primordium
G-salpha60A,anterior midgut primordium
grau,anterior midgut primordium
GstD1,anterior midgut primordium
His2Av,anterior midgut primordium
Hsc70-5,anterior midgut primordium
Hsf,anterior midgut primordium
Hsp26,anterior midgut primordium
Hsp83,anterior midgut primordium
ImpE2,anterior midgut primordium
janA,anterior midgut primordium
ifc,anterior midgut primordium
Sop2,anterior midgut primordium
gft,anterior midgut primordium
esg,anterior midgut primordium
l(2)35Di,anterior midgut primordium
l(2)37Bb,anterior midgut primordium
l(2)37Cc,anterior midgut primordium
l(2)tid,anterior midgut primordium
Pros26,anterior midgut primordium
dco,anterior midgut primordium
lab,anterior midgut primordium
LanA,anterior midgut primordium
m1,anterior midgut primordium
HLHm3,anterior midgut primordium
RpS3,anterior midgut primordium
HLHmgamma,anterior midgut primordium
mago,anterior midgut primordium
mnd,anterior midgut primordium
mod(mdg4),anterior midgut primordium
mor,anterior midgut primordium
Mov34,anterior midgut primordium
MtnA,anterior midgut primordium
mus308,anterior midgut primordium
nub,anterior midgut primordium
Pc,anterior midgut primordium
Pcl,anterior midgut primordium
peb,anterior midgut primordium
Fib,anterior midgut primordium
Pepck,anterior midgut primordium
phl,anterior midgut primordium
Pros35,anterior midgut primordium
ptr,anterior midgut primordium
put,anterior midgut primordium
px,anterior midgut primordium
ras,anterior midgut primordium
ref(2)P,anterior midgut primordium
rib,anterior midgut primordium
r-l,anterior midgut primordium
RpI135,anterior midgut primordium
sax,anterior midgut primordium
spn-A,anterior midgut primordium
Src64B,anterior midgut primordium
Btk29A,anterior midgut primordium
stau,anterior midgut primordium
su(Hw),anterior midgut primordium
Su(var)3-7,anterior midgut primordium
Su(var)3-9,anterior midgut primordium
Su(var)205,anterior midgut primordium
T-cp1,anterior midgut primordium
tko,anterior midgut primordium
tkv,anterior midgut primordium
Tm1,anterior midgut primordium
ttk,anterior midgut primordium
betaTub85D,anterior midgut primordium
Zw,anterior midgut primordium
Pros28.1,anterior midgut primordium
cdc2,anterior midgut primordium
alphaTub67C,anterior midgut primordium
porin,anterior midgut primordium
pdm2,anterior midgut primordium
LysP,anterior midgut primordium
Cyp1,anterior midgut primordium
Galpha49B,anterior midgut primordium
mew,anterior midgut primordium
gwl,anterior midgut primordium
Su(P),anterior midgut primordium
Ca-P60A,anterior midgut primordium
Rop,anterior midgut primordium
Rrp1,anterior midgut primordium
CaMKII,anterior midgut primordium
drk,anterior midgut primordium
fs(1)h,anterior midgut primordium
otk,anterior midgut primordium
bowl,anterior midgut primordium
Prat,anterior midgut primordium
Hnf4,anterior midgut primordium
TfIIB,anterior midgut primordium
M(2)21AB,anterior midgut primordium
nmd,anterior midgut primordium
yemalpha,anterior midgut primordium
Sox14,anterior midgut primordium
Eip63E,anterior midgut primordium
wdn,anterior midgut primordium
mus209,anterior midgut primordium
gcl,anterior midgut primordium
noc,anterior midgut primordium
PpD3,anterior midgut primordium
CG4381,anterior midgut primordium
Acon,anterior midgut primordium
RpA-70,anterior midgut primordium
Sod2,anterior midgut primordium
Klc,anterior midgut primordium
Rbp1,anterior midgut primordium
TfIIFalpha,anterior midgut primordium
bys,anterior midgut primordium
dap,anterior midgut primordium
Cdc42,anterior midgut primordium
Akt1,anterior midgut primordium
Gtp-bp,anterior midgut primordium
Sdc,anterior midgut primordium
TH1,anterior midgut primordium
TfIIS,anterior midgut primordium
Dcp-1,anterior midgut primordium
wal,anterior midgut primordium
l(2)03709,anterior midgut primordium
sbb,anterior midgut primordium
dock,anterior midgut primordium
l(2)06225,anterior midgut primordium
Sip1,anterior midgut primordium
Cct5,anterior midgut primordium
Sec61beta,anterior midgut primordium
l(2)08717,anterior midgut primordium
l(3)00305,anterior midgut primordium
l(3)03670,anterior midgut primordium
l(3)04053,anterior midgut primordium
l(3)07882,anterior midgut primordium
l(3)s1921,anterior midgut primordium
fbl,anterior midgut primordium
ox,anterior midgut primordium
scat,anterior midgut primordium
Sema-1a,anterior midgut primordium
Rsf1,anterior midgut primordium
OstStt3,anterior midgut primordium
mtacp1,anterior midgut primordium
l(3)neo18,anterior midgut primordium
Ssdp,anterior midgut primordium
cpb,anterior midgut primordium
fra,anterior midgut primordium
ine,anterior midgut primordium
Iswi,anterior midgut primordium
La,anterior midgut primordium
Mad,anterior midgut primordium
Myo31DF,anterior midgut primordium
insc,anterior midgut primordium
RnrL,anterior midgut primordium
RnrS,anterior midgut primordium
Snr1,anterior midgut primordium
Arp87C,anterior midgut primordium
PhKgamma,anterior midgut primordium
ctp,anterior midgut primordium
Dp,anterior midgut primordium
E2f,anterior midgut primordium
Fdh,anterior midgut primordium
mRpL7-L12,anterior midgut primordium
CG4038,anterior midgut primordium
Tis11,anterior midgut primordium
Aldh,anterior midgut primordium
Ance,anterior midgut primordium
BtbVII,anterior midgut primordium
DNApol-delta,anterior midgut primordium
Trl,anterior midgut primordium
FK506-bp1,anterior midgut primordium
TfIIA-S,anterior midgut primordium
UTPase,anterior midgut primordium
,anterior midgut primordium
l(3)70Da,anterior midgut primordium
l(3)82Fd,anterior midgut primordium
Arf51F,anterior midgut primordium
Caki,anterior midgut primordium
Chit,anterior midgut primordium
Deaf1,anterior midgut primordium
MAPk-Ak2,anterior midgut primordium
Rab5,anterior midgut primordium
Rapgap1,anterior midgut primordium
Rel,anterior midgut primordium
Rho1,anterior midgut primordium
Rnp4F,anterior midgut primordium
RpS12,anterior midgut primordium
SdhB,anterior midgut primordium
Sep2,anterior midgut primordium
mirr,anterior midgut primordium
Ahcy13,anterior midgut primordium
Ost48,anterior midgut primordium
Roe1,anterior midgut primordium
Set,anterior midgut primordium
Cctgamma,anterior midgut primordium
eIF-4E,anterior midgut primordium
Hr78,anterior midgut primordium
Hsp60,anterior midgut primordium
Nap1,anterior midgut primordium
Orc5,anterior midgut primordium
Pi3K68D,anterior midgut primordium
Srp19,anterior midgut primordium
Vha26,anterior midgut primordium
drl,anterior midgut primordium
hoip,anterior midgut primordium
mbc,anterior midgut primordium
pen,anterior midgut primordium
Caf1,anterior midgut primordium
CanB2,anterior midgut primordium
SMC3,anterior midgut primordium
Cpr,anterior midgut primordium
Hmu,anterior midgut primordium
Lis-1,anterior midgut primordium
Rbf,anterior midgut primordium
Rpd3,anterior midgut primordium
ScpX,anterior midgut primordium
Slh,anterior midgut primordium
ast,anterior midgut primordium
Tom40,anterior midgut primordium
phr6-4,anterior midgut primordium
ATPsyn-Cf6,anterior midgut primordium
ATPsyn-d,anterior midgut primordium
NaPi-T,anterior midgut primordium
Oscp,anterior midgut primordium
Pdp1,anterior midgut primordium
Pitslre,anterior midgut primordium
Stat92E,anterior midgut primordium
snRNP70K,anterior midgut primordium
smid,anterior midgut primordium
sktl,anterior midgut primordium
CG5989,anterior midgut primordium
Zn72D,anterior midgut primordium
Scs-fp,anterior midgut primordium
Rga,anterior midgut primordium
Nacalpha,anterior midgut primordium
ND75,anterior midgut primordium
ND23,anterior midgut primordium
Mo25,anterior midgut primordium
Mcm5,anterior midgut primordium
Max,anterior midgut primordium
Atu,anterior midgut primordium
lok,anterior midgut primordium
Smg5,anterior midgut primordium
ND42,anterior midgut primordium
CG6455,anterior midgut primordium
Ice,anterior midgut primordium
ATPsyn-gamma,anterior midgut primordium
rhea,anterior midgut primordium
ran,anterior midgut primordium
dbe,anterior midgut primordium
dve,anterior midgut primordium
crol,anterior midgut primordium
Vha68-2,anterior midgut primordium
Vha68-1,anterior midgut primordium
pug,anterior midgut primordium
Pcaf,anterior midgut primordium
Elf,anterior midgut primordium
emb,anterior midgut primordium
ade5,anterior midgut primordium
Vha44,anterior midgut primordium
Pi3K21B,anterior midgut primordium
Osbp,anterior midgut primordium
KrT95D,anterior midgut primordium
RpL3,anterior midgut primordium
nudC,anterior midgut primordium
Tapdelta,anterior midgut primordium
Dmn,anterior midgut primordium
Nle,anterior midgut primordium
Zfrp8,anterior midgut primordium
RFeSP,anterior midgut primordium
,anterior midgut primordium
