Ama,amnioserosa anlage
Eip71CD,amnioserosa anlage
emc,amnioserosa anlage
HLHm5,amnioserosa anlage
net,amnioserosa anlage
peb,amnioserosa anlage
Pepck,amnioserosa anlage
rst,amnioserosa anlage
Sry-beta,amnioserosa anlage
tipE,amnioserosa anlage
Tkr,amnioserosa anlage
tkv,amnioserosa anlage
tsh,amnioserosa anlage
tup,amnioserosa anlage
ush,amnioserosa anlage
zen,amnioserosa anlage
zen2,amnioserosa anlage
Nrt,amnioserosa anlage
C15,amnioserosa anlage
C15,amnioserosa anlage
tok,amnioserosa anlage
scw,amnioserosa anlage
TfIIFalpha,amnioserosa anlage
dap,amnioserosa anlage
bun,amnioserosa anlage
l(2)08717,amnioserosa anlage
Ance,amnioserosa anlage
toc,amnioserosa anlage
gk,amnioserosa anlage
CG14801,amnioserosa anlage
CG13360,amnioserosa anlage
Mhcl,amnioserosa anlage
Sema-5c,amnioserosa anlage
Doc1,amnioserosa anlage
Nek2,amnioserosa anlage
CG4710,amnioserosa anlage
eiger,amnioserosa anlage
CG8654,amnioserosa anlage
CG18375,amnioserosa anlage
CG10082,amnioserosa anlage
CG13894,amnioserosa anlage
CG11347,amnioserosa anlage
CG10479,amnioserosa anlage
Ect4,amnioserosa anlage
Doc3,amnioserosa anlage
Doc2,amnioserosa anlage
topi,amnioserosa anlage
CG12802,amnioserosa anlage
CG12420,amnioserosa anlage
Cyp6d5,amnioserosa anlage
CG13653,amnioserosa anlage
CG32796,amnioserosa anlage
CG8147,amnioserosa anlage
CG30426,amnioserosa anlage
Ect4,amnioserosa anlage
pnr,amnioserosa anlage
Ama,anlage in statu nascendi
bib,anlage in statu nascendi
Bsg25A,anlage in statu nascendi
cad,anlage in statu nascendi
eya,anlage in statu nascendi
D,anlage in statu nascendi
disco,anlage in statu nascendi
dm,anlage in statu nascendi
Pka-C3,anlage in statu nascendi
Eip71CD,anlage in statu nascendi
exd,anlage in statu nascendi
bnb,anlage in statu nascendi
gt,anlage in statu nascendi
halo,anlage in statu nascendi
hkb,anlage in statu nascendi
Kr,anlage in statu nascendi
l(1)sc,anlage in statu nascendi
nub,anlage in statu nascendi
numb,anlage in statu nascendi
Pepck,anlage in statu nascendi
S,anlage in statu nascendi
sala,anlage in statu nascendi
Sd,anlage in statu nascendi
shg,anlage in statu nascendi
so,anlage in statu nascendi
srp,anlage in statu nascendi
term,anlage in statu nascendi
tkv,anlage in statu nascendi
tld,anlage in statu nascendi
Egfr,anlage in statu nascendi
tsh,anlage in statu nascendi
ttk,anlage in statu nascendi
W,anlage in statu nascendi
wg,anlage in statu nascendi
zen,anlage in statu nascendi
CrebA,anlage in statu nascendi
slp2,anlage in statu nascendi
argos,anlage in statu nascendi
pros,anlage in statu nascendi
cas,anlage in statu nascendi
sob,anlage in statu nascendi
noc,anlage in statu nascendi
comm,anlage in statu nascendi
Lac,anlage in statu nascendi
TfIIFalpha,anlage in statu nascendi
Cyp18a1,anlage in statu nascendi
TH1,anlage in statu nascendi
trn,anlage in statu nascendi
Sip1,anlage in statu nascendi
Sec61beta,anlage in statu nascendi
scat,anlage in statu nascendi
mas,anlage in statu nascendi
spdo,anlage in statu nascendi
E2f,anlage in statu nascendi
Ance,anlage in statu nascendi
CalpA,anlage in statu nascendi
nuf,anlage in statu nascendi
phyl,anlage in statu nascendi
Esp,anlage in statu nascendi
Calx,anlage in statu nascendi
Rac2,anlage in statu nascendi
Rapgap1,anlage in statu nascendi
Rel,anlage in statu nascendi
drl,anlage in statu nascendi
tap,anlage in statu nascendi
toc,anlage in statu nascendi
Nak,anlage in statu nascendi
crq,anlage in statu nascendi
how,anlage in statu nascendi
toy,anlage in statu nascendi
lok,anlage in statu nascendi
mspo,anlage in statu nascendi
gk,anlage in statu nascendi
fok,anlage in statu nascendi
drongo,anlage in statu nascendi
mira,anlage in statu nascendi
Thor,anlage in statu nascendi
milt,anlage in statu nascendi
CG3835,anlage in statu nascendi
Ac78C,anlage in statu nascendi
drm,anlage in statu nascendi
CG14801,anlage in statu nascendi
Mhcl,anlage in statu nascendi
Gasp,anlage in statu nascendi
slim,anlage in statu nascendi
gukh,anlage in statu nascendi
Traf1,anlage in statu nascendi
Sep5,anlage in statu nascendi
CG5009,anlage in statu nascendi
CG9009,anlage in statu nascendi
Pfrx,anlage in statu nascendi
l(1)G0289,anlage in statu nascendi
jbug,anlage in statu nascendi
cenG1A,anlage in statu nascendi
Sema-5c,anlage in statu nascendi
Doc1,anlage in statu nascendi
CG16876,anlage in statu nascendi
trbl,anlage in statu nascendi
CG14427,anlage in statu nascendi
Nek2,anlage in statu nascendi
CG11696,anlage in statu nascendi
CG9514,anlage in statu nascendi
CG12708,anlage in statu nascendi
CG8239,anlage in statu nascendi
CG8289,anlage in statu nascendi
CG11455,anlage in statu nascendi
