usp,maternal
vap,maternal
vas,maternal
yrt,maternal
z,maternal
Zw,maternal
Pros28.1,maternal
bs,maternal
cdc2,maternal
cdc2c,maternal
boca,maternal
up,maternal
gammaTub23C,maternal
mts,maternal
Csp,maternal
alphaTub67C,maternal
Hrb87F,maternal
scra,maternal
HmgD,maternal
porin,maternal
Ptp4E,maternal
Klp61F,maternal
Klp67A,maternal
Klp68D,maternal
Klp98A,maternal
Gap1,maternal
shtd,maternal
Vinc,maternal
psq,maternal
rhi,maternal
Pep,maternal
RpS14a,maternal
me31B,maternal
Cyp1,maternal
Galpha49B,maternal
UbcD6,maternal
gwl,maternal
Pk17E,maternal
Su(P),maternal
GlyP,maternal
Ets97D,maternal
Ca-P60A,maternal
Dbp73D,maternal
Rop,maternal
Rrp1,maternal
B52,maternal
CycC,maternal
Src42A,maternal
zfh1,maternal
CaMKII,maternal
drk,maternal
mit(1)15,maternal
svr,maternal
yl,maternal
fs(1)N,maternal
fru,maternal
fs(1)h,maternal
mys,maternal
Mlc-c,maternal
mus210,maternal
Ccp84Aa,maternal
retn,maternal
mdy,maternal
fs(2)ltoPP43,maternal
Su(H),maternal
Hrb27C,maternal
B-H2,maternal
Bx42,maternal
elB,maternal
hop,maternal
Gdi,maternal
bab1,maternal
piwi,maternal
cas,maternal
plx,maternal
orb,maternal
tws,maternal
sob,maternal
fd96Ca,maternal
Prat,maternal
Rb97D,maternal
Arl2,maternal
Gnf1,maternal
Hnf4,maternal
TfIIB,maternal
RpS6,maternal
eIF-2beta,maternal
por,maternal
M(2)21AB,maternal
nmd,maternal
Su(fu),maternal
ash1,maternal
U2af50,maternal
ewg,maternal
RpS17,maternal
Crc,maternal
RpL7,maternal
yemalpha,maternal
msl-2,maternal
msl-1,maternal
lola,maternal
faf,maternal
zip,maternal
mxc,maternal
Eip63E,maternal
wdn,maternal
Pabp2,maternal
Rox8,maternal
mus209,maternal
Ets98B,maternal
Ets21C,maternal
Cry,maternal
Vha55,maternal
spi,maternal
pie,maternal
Aef1,maternal
gcl,maternal
DNApol-alpha73,maternal
PpD3,maternal
betaCop,maternal
E5,maternal
lbl,maternal
CanB,maternal
CG4381,maternal
GstD4,maternal
GstD7,maternal
GstD8,maternal
RpL23,maternal
gammaTub37C,maternal
Acon,maternal
hdc,maternal
hig,maternal
RpA-70,maternal
Sod2,maternal
ATPsyn-beta,maternal
Dbp45A,maternal
GstS1,maternal
HmgZ,maternal
Hr39,maternal
Klc,maternal
Lac,maternal
,maternal
Rbp1,maternal
Dsor1,maternal
Ssrp,maternal
Taf4,maternal
TfIIFalpha,maternal
Trf,maternal
Uch,maternal
bys,maternal
brat,maternal
hep,maternal
lio,maternal
corto,maternal
CycD,maternal
dap,maternal
CycJ,maternal
Gsc,maternal
woc,maternal
Rac1,maternal
alpha-Man-I,maternal
140up,maternal
Cdc42,maternal
Map60,maternal
Arf79F,maternal
CdsA,maternal
Taf1,maternal
Taf5,maternal
Akt1,maternal
Bap,maternal
CycE,maternal
Gtp-bp,maternal
LamC,maternal
Lrr47,maternal
Pros25,maternal
RpS9,maternal
RpS18,maternal
RpS25,maternal
Sdc,maternal
TH1,maternal
Taf6,maternal
TfIIFbeta,maternal
TfIIS,maternal
mtrm,maternal
pll,maternal
bun,maternal
Dcp-1,maternal
l(2)02045,maternal
wal,maternal
Bka,maternal
Ccs,maternal
Aldh-III,maternal
l(2)03709,maternal
sbb,maternal
dock,maternal
l(2)05070,maternal
Prosbeta1,maternal
Sply,maternal
l(2)05714,maternal
l(2)44DEa,maternal
Hmgs,maternal
l(2)06225,maternal
Sip1,maternal
Cct5,maternal
l(2)06496,maternal
vlc,maternal
Sec61beta,maternal
l(2)s5379,maternal
l(3)00305,maternal
sqz,maternal
Aly,maternal
l(3)03670,maternal
Tom34,maternal
Gug,maternal
l(3)04053,maternal
sgl,maternal
l(3)05822,maternal
l(3)07882,maternal
btsz,maternal
l(3)s1921,maternal
SsRbeta,maternal
fbl,maternal
fbl,maternal
heph,maternal
ox,maternal
scat,maternal
ken,maternal
Sema-1a,maternal
Sema-2a,maternal
RpL13,maternal
And,maternal
HLH3B,maternal
TfIIA-L,maternal
TfIIA-L,maternal
